"Division, Sub-Ddivision
Group","Class,Descriptions",Class Description,ISIC-P,ISIC Description,UID,ANZSIC CODE,Level,Division,Sub-Ddivision,Group,Class,Code,Description,ISIC Description,ISIC,ISIC-P,#ANZSIC,"PARENT #ANZSIC",#ISIC,Used For Concordance ,"Matches to 
Concordance
(ANZIC to ISIC)","Matches to 
Concordance
(ISIC to ANZIC)",Matched to NETVIEW,Match ISIC for description,Comments,,,,"#ANZSIC
Codes
Unique",Code
,,,1920p,Manufacture of refined petroleum products,F7.0300,No,4,C,18,181,1811,1811,Industrial Gas Manufacturing, Manufacture of refined petroleum products ,1920,p,ANZSIC-1811,ANZSIC-181,ISIC-1920,Yes,3,3,3,Manufacture of refined petroleum products,,,,,ANZSIC-2469,2469
,,,2011p,Manufacture of basic chemicals,F7.0301,No,4,C,18,181,1811,1811,Industrial Gas Manufacturing, Manufacture of basic chemicals ,2011,p,ANZSIC-1811,ANZSIC-181,ISIC-2011,Yes,3,8,3,Manufacture of basic chemicals,,,,,ANZSIC-249,249
,1812,Basic Organic Chemical Manufacturing,1910p,Manufacture of coke oven products,F7.0302,Yes,4,C,18,181,1812,1812,Basic Organic Chemical Manufacturing, Manufacture of coke oven products ,1910,p,ANZSIC-1812,ANZSIC-181,ISIC-1910,Yes,2,3,2,Manufacture of coke oven products,,,,,ANZSIC-2491,2491
,,,2011p,Manufacture of basic chemicals,F7.0303,No,4,C,18,181,1812,1812,Basic Organic Chemical Manufacturing, Manufacture of basic chemicals ,2011,p,ANZSIC-1812,ANZSIC-181,ISIC-2011,Yes,2,8,2,Manufacture of basic chemicals,,,,,ANZSIC-2499,2499
,1813,Basic Inorganic Chemical Manufacturing,2011p,Manufacture of basic chemicals,F7.0304,Yes,4,C,18,181,1813,1813,Basic Inorganic Chemical Manufacturing, Manufacture of basic chemicals ,2011,p,ANZSIC-1813,ANZSIC-181,ISIC-2011,Yes,3,8,3,Manufacture of basic chemicals,,,,,ANZSIC-25,25
,,,2012p,Manufacture of fertilizers and nitrogen compounds,F7.0305,No,4,C,18,181,1813,1813,Basic Inorganic Chemical Manufacturing, Manufacture of fertilizers and nitrogen compounds ,2012,p,ANZSIC-1813,ANZSIC-181,ISIC-2012,Yes,3,3,3,Manufacture of fertilizers and nitrogen compounds,,,,,ANZSIC-251,251
,,,2100p,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",F7.0306,No,4,C,18,181,1813,1813,Basic Inorganic Chemical Manufacturing," Manufacture of pharmaceuticals, medicinal chemical and botanical products ",2100,p,ANZSIC-1813,ANZSIC-181,ISIC-2100,Yes,3,4,3,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,,,,ANZSIC-2511,2511
182,Basic Polymer Manufacturing,,,,F7.0307,Yes,3,C,18,182,..,182,Basic Polymer Manufacturing, .. ,..,..,ANZSIC-182,ANZSIC-18,..,No,..,..,1,..,,,,,ANZSIC-2512,2512
,1821,Synthetic Resin and Synthetic Rubber Manufacturing,2013p,Manufacture of plastics and synthetic rubber in primary forms,F7.0308,Yes,4,C,18,182,1821,1821,Synthetic Resin and Synthetic Rubber Manufacturing, Manufacture of plastics and synthetic rubber in primary forms ,2013,p,ANZSIC-1821,ANZSIC-182,ISIC-2013,Yes,1,2,1,Manufacture of plastics and synthetic rubber in primary forms,,,,,ANZSIC-2513,2513
,1829,Other Basic Polymer Manufacturing,2013p,Manufacture of plastics and synthetic rubber in primary forms,F7.0309,Yes,4,C,18,182,1829,1829,Other Basic Polymer Manufacturing, Manufacture of plastics and synthetic rubber in primary forms ,2013,p,ANZSIC-1829,ANZSIC-182,ISIC-2013,Yes,2,2,2,Manufacture of plastics and synthetic rubber in primary forms,,,,,ANZSIC-2519,2519
,,,2030,Manufacture of man-made fibres,F7.0310,No,4,C,18,182,1829,1829,Other Basic Polymer Manufacturing, Manufacture of man-made fibres ,2030,..,ANZSIC-1829,ANZSIC-182,ISIC-2030,Yes,2,1,2,Manufacture of man-made fibres,,,,,ANZSIC-259,259
183,Fertiliser and Pesticide Manufacturing,,,,F7.0311,Yes,3,C,18,183,..,183,Fertiliser and Pesticide Manufacturing, .. ,..,..,ANZSIC-183,ANZSIC-18,..,No,..,..,1,..,,,,,ANZSIC-2591,2591
,1831,Fertiliser Manufacturing,2012p,Manufacture of fertilizers and nitrogen compounds,F7.0312,Yes,4,C,18,183,1831,1831,Fertiliser Manufacturing, Manufacture of fertilizers and nitrogen compounds ,2012,p,ANZSIC-1831,ANZSIC-183,ISIC-2012,Yes,2,3,2,Manufacture of fertilizers and nitrogen compounds,,,,,ANZSIC-2592,2592
,,,3821p,Treatment and disposal of non-hazardous waste,F7.0313,No,4,C,18,183,1831,1831,Fertiliser Manufacturing, Treatment and disposal of non-hazardous waste ,3821,p,ANZSIC-1831,ANZSIC-183,ISIC-3821,Yes,2,4,2,Treatment and disposal of non-hazardous waste,,,,,ANZSIC-2599,2599
,1832,Pesticide Manufacturing,2021,Manufacture of pesticides and other agrochemical products,F7.0314,Yes,4,C,18,183,1832,1832,Pesticide Manufacturing, Manufacture of pesticides and other agrochemical products ,2021,..,ANZSIC-1832,ANZSIC-183,ISIC-2021,Yes,1,1,1,Manufacture of pesticides and other agrochemical products,,,,,ANZSIC-D,D
184,Pharmaceutical and Medicinal Product Manufacturing,,,,F7.0315,Yes,3,C,18,184,..,184,Pharmaceutical and Medicinal Product Manufacturing, .. ,..,..,ANZSIC-184,ANZSIC-18,..,No,..,..,1,..,,,,,ANZSIC-26,26
,1841,Human Pharmaceutical and Medicinal Product Manufacturing,2100p,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",F7.0316,Yes,4,C,18,184,1841,1841,Human Pharmaceutical and Medicinal Product Manufacturing," Manufacture of pharmaceuticals, medicinal chemical and botanical products ",2100,p,ANZSIC-1841,ANZSIC-184,ISIC-2100,Yes,1,4,1,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,,,,ANZSIC-261,261
,1842,Veterinary Pharmaceutical and Medicinal Product Manufacturing,2100p,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",F7.0317,Yes,4,C,18,184,1842,1842,Veterinary Pharmaceutical and Medicinal Product Manufacturing," Manufacture of pharmaceuticals, medicinal chemical and botanical products ",2100,p,ANZSIC-1842,ANZSIC-184,ISIC-2100,Yes,1,4,1,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",,,,,ANZSIC-2611,2611
185,Cleaning Compound and Toiletry Preparation Manufacturing,,,,F7.0318,Yes,3,C,18,185,..,185,Cleaning Compound and Toiletry Preparation Manufacturing, .. ,..,..,ANZSIC-185,ANZSIC-18,..,No,..,..,1,..,,,,,ANZSIC-2612,2612
,1851,Cleaning Compound Manufacturing,2023p,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",F7.0319,Yes,4,C,18,185,1851,1851,Cleaning Compound Manufacturing," Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations ",2023,p,ANZSIC-1851,ANZSIC-185,ISIC-2023,Yes,1,4,1,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",,,,,ANZSIC-2619,2619
,1852,Cosmetic and Toiletry Preparation Manufacturing,2023p,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",F7.0320,Yes,4,C,18,185,1852,1852,Cosmetic and Toiletry Preparation Manufacturing," Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations ",2023,p,ANZSIC-1852,ANZSIC-185,ISIC-2023,Yes,1,4,1,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",,,,,ANZSIC-262,262
189,Other Basic Chemical Product Manufacturing,,,,F7.0321,Yes,3,C,18,189,..,189,Other Basic Chemical Product Manufacturing, .. ,..,..,ANZSIC-189,ANZSIC-18,..,No,..,..,1,..,,,,,ANZSIC-2620,2620
,1891,Photographic Chemical Product Manufacturing,2011p,Manufacture of basic chemicals,F7.0322,Yes,4,C,18,189,1891,1891,Photographic Chemical Product Manufacturing, Manufacture of basic chemicals ,2011,p,ANZSIC-1891,ANZSIC-189,ISIC-2011,Yes,2,8,2,Manufacture of basic chemicals,,,,,ANZSIC-263,263
,,,2029p,Manufacture of other chemical products n.e.c.,F7.0323,No,4,C,18,189,1891,1891,Photographic Chemical Product Manufacturing, Manufacture of other chemical products n.e.c. ,2029,p,ANZSIC-1891,ANZSIC-189,ISIC-2029,Yes,2,6,2,Manufacture of other chemical products n.e.c.,,,,,ANZSIC-2630,2630
,1892,Explosive Manufacturing,2011p,Manufacture of basic chemicals,F7.0324,Yes,4,C,18,189,1892,1892,Explosive Manufacturing, Manufacture of basic chemicals ,2011,p,ANZSIC-1892,ANZSIC-189,ISIC-2011,Yes,3,8,3,Manufacture of basic chemicals,,,,,ANZSIC-264,264
,,,2012p,Manufacture of fertilizers and nitrogen compounds,F7.0325,No,4,C,18,189,1892,1892,Explosive Manufacturing, Manufacture of fertilizers and nitrogen compounds ,2012,p,ANZSIC-1892,ANZSIC-189,ISIC-2012,Yes,3,3,3,Manufacture of fertilizers and nitrogen compounds,,,,,ANZSIC-2640,2640
,,,2029p,Manufacture of other chemical products n.e.c.,F7.0326,No,4,C,18,189,1892,1892,Explosive Manufacturing, Manufacture of other chemical products n.e.c. ,2029,p,ANZSIC-1892,ANZSIC-189,ISIC-2029,Yes,3,6,3,Manufacture of other chemical products n.e.c.,,,,,ANZSIC-27,27
,1899,Other Basic Chemical Product Manufacturing n.e.c.,2011p,Manufacture of basic chemicals,F7.0327,Yes,4,C,18,189,1899,1899,Other Basic Chemical Product Manufacturing n.e.c., Manufacture of basic chemicals ,2011,p,ANZSIC-1899,ANZSIC-189,ISIC-2011,Yes,2,8,2,Manufacture of basic chemicals,,,,,ANZSIC-270,270
,,,2029p,Manufacture of other chemical products n.e.c.,F7.0328,No,4,C,18,189,1899,1899,Other Basic Chemical Product Manufacturing n.e.c., Manufacture of other chemical products n.e.c. ,2029,p,ANZSIC-1899,ANZSIC-189,ISIC-2029,Yes,2,6,2,Manufacture of other chemical products n.e.c.,,,,,ANZSIC-2700,2700
19,Polymer Product and Rubber Product Manufacturing,,,,F7.0329,Yes,2,C,19,..,..,19,Polymer Product and Rubber Product Manufacturing, .. ,..,..,ANZSIC-19,ANZSIC-C,..,No,..,..,1,..,,,,,ANZSIC-28,28
191,Polymer Product Manufacturing,,,,F7.0330,Yes,3,C,19,191,..,191,Polymer Product Manufacturing, .. ,..,..,ANZSIC-191,ANZSIC-19,..,No,..,..,1,..,,,,,ANZSIC-281,281
,1911,Polymer Film and Sheet Packaging Material Manufacturing,2220p,Manufacture of plastics products,F7.0331,Yes,4,C,19,191,1911,1911,Polymer Film and Sheet Packaging Material Manufacturing, Manufacture of plastics products ,2220,p,ANZSIC-1911,ANZSIC-191,ISIC-2220,Yes,1,7,1,Manufacture of plastics products,,,,,ANZSIC-2811,2811
,1912,Rigid and Semi-Rigid Polymer Product Manufacturing,2220p,Manufacture of plastics products,F7.0332,Yes,4,C,19,191,1912,1912,Rigid and Semi-Rigid Polymer Product Manufacturing, Manufacture of plastics products ,2220,p,ANZSIC-1912,ANZSIC-191,ISIC-2220,Yes,4,7,4,Manufacture of plastics products,,,,,ANZSIC-2812,2812
,,,2733p,Manufacture of wiring devices,F7.0333,No,4,C,19,191,1912,1912,Rigid and Semi-Rigid Polymer Product Manufacturing, Manufacture of wiring devices ,2733,p,ANZSIC-1912,ANZSIC-191,ISIC-2733,Yes,4,5,4,Manufacture of wiring devices,,,,,ANZSIC-29,29
,,,3100p,Manufacture of furniture,F7.0334,No,4,C,19,191,1912,1912,Rigid and Semi-Rigid Polymer Product Manufacturing, Manufacture of furniture ,3100,p,ANZSIC-1912,ANZSIC-191,ISIC-3100,Yes,4,6,4,Manufacture of furniture,,,,,ANZSIC-291,291
,,,3290p,Other manufacturing n.e.c.,F7.0335,No,4,C,19,191,1912,1912,Rigid and Semi-Rigid Polymer Product Manufacturing, Other manufacturing n.e.c. ,3290,p,ANZSIC-1912,ANZSIC-191,ISIC-3290,Yes,4,10,4,Other manufacturing n.e.c.,,,,,ANZSIC-2911,2911
,1913,Polymer Foam Product Manufacturing,2220p,Manufacture of plastics products,F7.0336,Yes,4,C,19,191,1913,1913,Polymer Foam Product Manufacturing, Manufacture of plastics products ,2220,p,ANZSIC-1913,ANZSIC-191,ISIC-2220,Yes,4,7,4,Manufacture of plastics products,,,,,ANZSIC-2919,2919
,,,2733p,Manufacture of wiring devices,F7.0337,No,4,C,19,191,1913,1913,Polymer Foam Product Manufacturing, Manufacture of wiring devices ,2733,p,ANZSIC-1913,ANZSIC-191,ISIC-2733,Yes,4,5,4,Manufacture of wiring devices,,,,,ANZSIC-292,292
,,,3290p,Other manufacturing n.e.c.,F7.0338,No,4,C,19,191,1913,1913,Polymer Foam Product Manufacturing, Other manufacturing n.e.c. ,3290,p,ANZSIC-1913,ANZSIC-191,ISIC-3290,Yes,4,10,4,Other manufacturing n.e.c.,,,,,ANZSIC-2921,2921
,,,4330p,Building completion and finishing,F7.0339,No,4,C,19,191,1913,1913,Polymer Foam Product Manufacturing, Building completion and finishing ,4330,p,ANZSIC-1913,ANZSIC-191,ISIC-4330,Yes,4,11,4,Building completion and finishing,,,,,ANZSIC-2922,2922
,1914,Tyre Manufacturing,2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,F7.0340,Yes,4,C,19,191,1914,1914,Tyre Manufacturing, Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres ,2211,..,ANZSIC-1914,ANZSIC-191,ISIC-2211,Yes,1,1,1,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,,,,,ANZSIC-E,E
,1915,Adhesive Manufacturing,2029p,Manufacture of other chemical products n.e.c.,F7.0341,Yes,4,C,19,191,1915,1915,Adhesive Manufacturing, Manufacture of other chemical products n.e.c. ,2029,p,ANZSIC-1915,ANZSIC-191,ISIC-2029,Yes,1,6,1,Manufacture of other chemical products n.e.c.,,,,,ANZSIC-30,30
,1916,Paint and Coatings Manufacturing,2011p,Manufacture of basic chemicals,F7.0342,Yes,4,C,19,191,1916,1916,Paint and Coatings Manufacturing, Manufacture of basic chemicals ,2011,p,ANZSIC-1916,ANZSIC-191,ISIC-2011,Yes,3,8,3,Manufacture of basic chemicals,,,,,ANZSIC-301,301
,,,2022,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",F7.0343,No,4,C,19,191,1916,1916,Paint and Coatings Manufacturing," Manufacture of paints, varnishes and similar coatings, printing ink and mastics ",2022,..,ANZSIC-1916,ANZSIC-191,ISIC-2022,Yes,3,1,3,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",,,,,ANZSIC-3011,3011
,,,2029p,Manufacture of other chemical products n.e.c.,F7.0344,No,4,C,19,191,1916,1916,Paint and Coatings Manufacturing, Manufacture of other chemical products n.e.c. ,2029,p,ANZSIC-1916,ANZSIC-191,ISIC-2029,Yes,3,6,3,Manufacture of other chemical products n.e.c.,,,,,ANZSIC-3019,3019
,1919,Other Polymer Product Manufacturing,1410p,"Manufacture of wearing apparel, except fur apparel",F7.0345,Yes,4,C,19,191,1919,1919,Other Polymer Product Manufacturing," Manufacture of wearing apparel, except fur apparel ",1410,p,ANZSIC-1919,ANZSIC-191,ISIC-1410,Yes,6,3,6,"Manufacture of wearing apparel, except fur apparel",,,,,ANZSIC-302,302
,,,2219p,Manufacture of other rubber products,F7.0346,No,4,C,19,191,1919,1919,Other Polymer Product Manufacturing, Manufacture of other rubber products ,2219,p,ANZSIC-1919,ANZSIC-191,ISIC-2219,Yes,6,6,6,Manufacture of other rubber products,,,,,ANZSIC-3020,3020
,,,2220p,Manufacture of plastics products,F7.0347,No,4,C,19,191,1919,1919,Other Polymer Product Manufacturing, Manufacture of plastics products ,2220,p,ANZSIC-1919,ANZSIC-191,ISIC-2220,Yes,6,7,6,Manufacture of plastics products,,,,,ANZSIC-31,31
,,,2930p,Manufacture of parts and accessories for motor vehicles,F7.0348,No,4,C,19,191,1919,1919,Other Polymer Product Manufacturing, Manufacture of parts and accessories for motor vehicles ,2930,p,ANZSIC-1919,ANZSIC-191,ISIC-2930,Yes,6,5,6,Manufacture of parts and accessories for motor vehicles,,,,,ANZSIC-310,310
,,,3011p,Building of ships and floating structures,F7.0349,No,4,C,19,191,1919,1919,Other Polymer Product Manufacturing, Building of ships and floating structures ,3011,p,ANZSIC-1919,ANZSIC-191,ISIC-3011,Yes,6,6,6,Building of ships and floating structures,,,,,ANZSIC-3101,3101
,,,3290p,Other manufacturing n.e.c.,F7.0350,No,4,C,19,191,1919,1919,Other Polymer Product Manufacturing, Other manufacturing n.e.c. ,3290,p,ANZSIC-1919,ANZSIC-191,ISIC-3290,Yes,6,10,6,Other manufacturing n.e.c.,,,,,ANZSIC-3109,3109
192,Natural Rubber Product Manufacturing,,,,F7.0351,Yes,3,C,19,192,..,192,Natural Rubber Product Manufacturing, .. ,..,..,ANZSIC-192,ANZSIC-19,..,No,..,..,1,..,,,,,ANZSIC-32,32
,1920,Natural Rubber Product Manufacturing,2219p,Manufacture of other rubber products,F7.0352,Yes,4,C,19,192,1920,1920,Natural Rubber Product Manufacturing, Manufacture of other rubber products ,2219,p,ANZSIC-1920,ANZSIC-192,ISIC-2219,Yes,1,6,1,Manufacture of other rubber products,,,,,ANZSIC-321,321
20,Non-Metallic Mineral Product Manufacturing,,,,F7.0353,Yes,2,C,20,..,..,20,Non-Metallic Mineral Product Manufacturing, .. ,..,..,ANZSIC-20,ANZSIC-C,..,No,..,..,1,..,,,,,ANZSIC-3211,3211
201,Glass and Glass Product Manufacturing,,,,F7.0354,Yes,3,C,20,201,..,201,Glass and Glass Product Manufacturing, .. ,..,..,ANZSIC-201,ANZSIC-20,..,No,..,..,1,..,,,,,ANZSIC-3212,3212
,2010,Glass and Glass Product Manufacturing,2310p,Manufacture of glass and glass products,F7.0355,Yes,4,C,20,201,2010,2010,Glass and Glass Product Manufacturing, Manufacture of glass and glass products ,2310,p,ANZSIC-2010,ANZSIC-201,ISIC-2310,Yes,1,2,1,Manufacture of glass and glass products,,,,,ANZSIC-322,322
202,Ceramic Product Manufacturing,,,,F7.0356,Yes,3,C,20,202,..,202,Ceramic Product Manufacturing, .. ,..,..,ANZSIC-202,ANZSIC-20,..,No,..,..,1,..,,,,,ANZSIC-3221,3221
,2021,Clay Brick Manufacturing,2392p,Manufacture of clay building materials,F7.0357,Yes,4,C,20,202,2021,2021,Clay Brick Manufacturing, Manufacture of clay building materials ,2392,p,ANZSIC-2021,ANZSIC-202,ISIC-2392,Yes,1,2,1,Manufacture of clay building materials,,,,,ANZSIC-3222,3222
,2029,Other Ceramic Product Manufacturing,2391,Manufacture of refractory products,F7.0358,Yes,4,C,20,202,2029,2029,Other Ceramic Product Manufacturing, Manufacture of refractory products ,2391,..,ANZSIC-2029,ANZSIC-202,ISIC-2391,Yes,3,1,3,Manufacture of refractory products,,,,,ANZSIC-3223,3223
,,,2392p,Manufacture of clay building materials,F7.0359,No,4,C,20,202,2029,2029,Other Ceramic Product Manufacturing, Manufacture of clay building materials ,2392,p,ANZSIC-2029,ANZSIC-202,ISIC-2392,Yes,3,2,3,Manufacture of clay building materials,,,,,ANZSIC-3224,3224
,,,2393,Manufacture of other porcelain and ceramic products,F7.0360,No,4,C,20,202,2029,2029,Other Ceramic Product Manufacturing, Manufacture of other porcelain and ceramic products ,2393,..,ANZSIC-2029,ANZSIC-202,ISIC-2393,Yes,3,1,3,Manufacture of other porcelain and ceramic products,,,,,ANZSIC-323,323
203,"Cement, Lime, Plaster and Concrete Product Manufacturing",,,,F7.0361,Yes,3,C,20,203,..,203,"Cement, Lime, Plaster and Concrete Product Manufacturing", .. ,..,..,ANZSIC-203,ANZSIC-20,..,No,..,..,1,..,,,,,ANZSIC-3231,3231
,2031,Cement and Lime Manufacturing,2394p,"Manufacture of cement, lime and plaster",F7.0362,Yes,4,C,20,203,2031,2031,Cement and Lime Manufacturing," Manufacture of cement, lime and plaster ",2394,p,ANZSIC-2031,ANZSIC-203,ISIC-2394,Yes,1,2,1,"Manufacture of cement, lime and plaster",,,,,ANZSIC-3232,3232
,2032,Plaster Product Manufacturing,2394p,"Manufacture of cement, lime and plaster",F7.0363,Yes,4,C,20,203,2032,2032,Plaster Product Manufacturing," Manufacture of cement, lime and plaster ",2394,p,ANZSIC-2032,ANZSIC-203,ISIC-2394,Yes,2,2,2,"Manufacture of cement, lime and plaster",,,,,ANZSIC-3233,3233
,,,2395p,"Manufacture of articles of concrete, cement and plaster",F7.0364,No,4,C,20,203,2032,2032,Plaster Product Manufacturing," Manufacture of articles of concrete, cement and plaster ",2395,p,ANZSIC-2032,ANZSIC-203,ISIC-2395,Yes,2,4,2,"Manufacture of articles of concrete, cement and plaster",,,,,ANZSIC-3234,3234
,2033,Ready-Mixed Concrete Manufacturing,2395p,"Manufacture of articles of concrete, cement and plaster",F7.0365,Yes,4,C,20,203,2033,2033,Ready-Mixed Concrete Manufacturing," Manufacture of articles of concrete, cement and plaster ",2395,p,ANZSIC-2033,ANZSIC-203,ISIC-2395,Yes,1,4,1,"Manufacture of articles of concrete, cement and plaster",,,,,ANZSIC-3239,3239
,2034,Concrete Product Manufacturing,2395p,"Manufacture of articles of concrete, cement and plaster",F7.0366,Yes,4,C,20,203,2034,2034,Concrete Product Manufacturing," Manufacture of articles of concrete, cement and plaster ",2395,p,ANZSIC-2034,ANZSIC-203,ISIC-2395,Yes,1,4,1,"Manufacture of articles of concrete, cement and plaster",,,,,ANZSIC-324,324
209,Other Non-Metallic Mineral Product Manufacturing,,,,F7.0367,Yes,3,C,20,209,..,209,Other Non-Metallic Mineral Product Manufacturing, .. ,..,..,ANZSIC-209,ANZSIC-20,..,No,..,..,1,..,,,,,ANZSIC-3241,3241
,2090,Other Non-Metallic Mineral Product Manufacturing,1709p,Manufacture of other articles of paper and paperboard,F7.0368,Yes,4,C,20,209,2090,2090,Other Non-Metallic Mineral Product Manufacturing, Manufacture of other articles of paper and paperboard ,1709,p,ANZSIC-2090,ANZSIC-209,ISIC-1709,Yes,6,5,6,Manufacture of other articles of paper and paperboard,,,,,ANZSIC-3242,3242
,,,2310p,Manufacture of glass and glass products,F7.0369,No,4,C,20,209,2090,2090,Other Non-Metallic Mineral Product Manufacturing, Manufacture of glass and glass products ,2310,p,ANZSIC-2090,ANZSIC-209,ISIC-2310,Yes,6,2,6,Manufacture of glass and glass products,,,,,ANZSIC-3243,3243
,,,2395p,"Manufacture of articles of concrete, cement and plaster",F7.0370,No,4,C,20,209,2090,2090,Other Non-Metallic Mineral Product Manufacturing," Manufacture of articles of concrete, cement and plaster ",2395,p,ANZSIC-2090,ANZSIC-209,ISIC-2395,Yes,6,4,6,"Manufacture of articles of concrete, cement and plaster",,,,,ANZSIC-3244,3244
,,,2396,"Cutting, shaping and finishing of stone",F7.0371,No,4,C,20,209,2090,2090,Other Non-Metallic Mineral Product Manufacturing," Cutting, shaping and finishing of stone ",2396,..,ANZSIC-2090,ANZSIC-209,ISIC-2396,Yes,6,1,6,"Cutting, shaping and finishing of stone",,,,,ANZSIC-3245,3245
,,,2399p,Manufacture of other non-metallic mineral products n.e.c.,F7.0372,No,4,C,20,209,2090,2090,Other Non-Metallic Mineral Product Manufacturing, Manufacture of other non-metallic mineral products n.e.c. ,2399,p,ANZSIC-2090,ANZSIC-209,ISIC-2399,Yes,6,2,6,Manufacture of other non-metallic mineral products n.e.c.,,,,,ANZSIC-329,329
,,,3290p,Other manufacturing n.e.c.,F7.0373,No,4,C,20,209,2090,2090,Other Non-Metallic Mineral Product Manufacturing, Other manufacturing n.e.c. ,3290,p,ANZSIC-2090,ANZSIC-209,ISIC-3290,Yes,6,10,6,Other manufacturing n.e.c.,,,,,ANZSIC-3291,3291
21,Primary Metal and Metal Product Manufacturing,,,,F7.0374,Yes,2,C,21,..,..,21,Primary Metal and Metal Product Manufacturing, .. ,..,..,ANZSIC-21,ANZSIC-C,..,No,..,..,1,..,,,,,ANZSIC-3292,3292
211,Basic Ferrous Metal Manufacturing,,,,F7.0375,Yes,3,C,21,211,..,211,Basic Ferrous Metal Manufacturing, .. ,..,..,ANZSIC-211,ANZSIC-21,..,No,..,..,1,..,,,,,ANZSIC-3299,3299
,2110,Iron Smelting and Steel Manufacturing,2410p,Manufacture of basic iron and steel,F7.0376,Yes,4,C,21,211,2110,2110,Iron Smelting and Steel Manufacturing, Manufacture of basic iron and steel ,2410,p,ANZSIC-2110,ANZSIC-211,ISIC-2410,Yes,2,3,2,Manufacture of basic iron and steel,,,,,ANZSIC-F,F
,,,2599p,Manufacture of other fabricated metal products n.e.c.,F7.0377,No,4,C,21,211,2110,2110,Iron Smelting and Steel Manufacturing, Manufacture of other fabricated metal products n.e.c. ,2599,p,ANZSIC-2110,ANZSIC-211,ISIC-2599,Yes,2,11,2,Manufacture of other fabricated metal products n.e.c.,,,,,ANZSIC-33,33
212,Basic Ferrous Metal Product Manufacturing,,,,F7.0378,Yes,3,C,21,212,..,212,Basic Ferrous Metal Product Manufacturing, .. ,..,..,ANZSIC-212,ANZSIC-21,..,No,..,..,1,..,,,,,ANZSIC-331,331
,2121,Iron and Steel Casting,2410p,Manufacture of basic iron and steel,F7.0379,Yes,4,C,21,212,2121,2121,Iron and Steel Casting, Manufacture of basic iron and steel ,2410,p,ANZSIC-2121,ANZSIC-212,ISIC-2410,Yes,3,3,3,Manufacture of basic iron and steel,,,,,ANZSIC-3311,3311
,,,2431,Casting of iron and steel,F7.0380,No,4,C,21,212,2121,2121,Iron and Steel Casting, Casting of iron and steel ,2431,..,ANZSIC-2121,ANZSIC-212,ISIC-2431,Yes,3,1,3,Casting of iron and steel,,,,,ANZSIC-3312,3312
,,,2599p,Manufacture of other fabricated metal products n.e.c.,F7.0381,No,4,C,21,212,2121,2121,Iron and Steel Casting, Manufacture of other fabricated metal products n.e.c. ,2599,p,ANZSIC-2121,ANZSIC-212,ISIC-2599,Yes,3,11,3,Manufacture of other fabricated metal products n.e.c.,,,,,ANZSIC-3319,3319
,2122,Steel Pipe and Tube Manufacturing,2410p,Manufacture of basic iron and steel,F7.0382,Yes,4,C,21,212,2122,2122,Steel Pipe and Tube Manufacturing, Manufacture of basic iron and steel ,2410,p,ANZSIC-2122,ANZSIC-212,ISIC-2410,Yes,1,3,1,Manufacture of basic iron and steel,,,,,ANZSIC-332,332
213,Basic Non-Ferrous Metal Manufacturing,,,,F7.0383,Yes,3,C,21,213,..,213,Basic Non-Ferrous Metal Manufacturing, .. ,..,..,ANZSIC-213,ANZSIC-21,..,No,..,..,1,..,,,,,ANZSIC-3321,3321
,2131,Alumina Production,2420p,Manufacture of basic precious and other non-ferrous metals,F7.0384,Yes,4,C,21,213,2131,2131,Alumina Production, Manufacture of basic precious and other non-ferrous metals ,2420,p,ANZSIC-2131,ANZSIC-213,ISIC-2420,Yes,1,6,1,Manufacture of basic precious and other non-ferrous metals,,,,,ANZSIC-3322,3322
,2132,Aluminium Smelting,2420p,Manufacture of basic precious and other non-ferrous metals,F7.0385,Yes,4,C,21,213,2132,2132,Aluminium Smelting, Manufacture of basic precious and other non-ferrous metals ,2420,p,ANZSIC-2132,ANZSIC-213,ISIC-2420,Yes,1,6,1,Manufacture of basic precious and other non-ferrous metals,,,,,ANZSIC-3323,3323
,2133,"Copper, Silver, Lead and Zinc Smelting and Refining",2420p,Manufacture of basic precious and other non-ferrous metals,F7.0386,Yes,4,C,21,213,2133,2133,"Copper, Silver, Lead and Zinc Smelting and Refining", Manufacture of basic precious and other non-ferrous metals ,2420,p,ANZSIC-2133,ANZSIC-213,ISIC-2420,Yes,1,6,1,Manufacture of basic precious and other non-ferrous metals,,,,,ANZSIC-333,333
