Source,Target,UID,#NACE,#ISIC,#NACE matches,#ISIC matches
J,J,F6.0684,NACE-J,ISIC-J,1,1
58,58,F6.0685,NACE-58,ISIC-58,1,1
58.1,581,F6.0686,NACE-58.1,ISIC-581,1,1
58.11,5811,F6.0687,NACE-58.11,ISIC-5811,1,1
58.12,5812,F6.0688,NACE-58.12,ISIC-5812,1,1
58.13,5813,F6.0689,NACE-58.13,ISIC-5813,1,1
58.14,5813,F6.0690,NACE-58.14,ISIC-5813,1,1
58.19,5819,F6.0691,NACE-58.19,ISIC-5819,1,1
58.2,582,F6.0692,NACE-58.2,ISIC-582,1,1
58.21,5820,F6.0693,NACE-58.21,ISIC-5820,1,1
58.29,5820,F6.0694,NACE-58.29,ISIC-5820,1,1
59,59,F6.0695,NACE-59,ISIC-59,1,1
59.1,591,F6.0696,NACE-59.1,ISIC-591,1,1
59.11,5911,F6.0697,NACE-59.11,ISIC-5911,1,1
59.12,5912,F6.0698,NACE-59.12,ISIC-5912,1,1
59.13,5913,F6.0699,NACE-59.13,ISIC-5913,1,1
59.14,5914,F6.0700,NACE-59.14,ISIC-5914,1,1
59.2,592,F6.0701,NACE-59.2,ISIC-592,1,1
59.20,5920,F6.0702,NACE-59.20,ISIC-5920,1,1
60,60,F6.0703,NACE-60,ISIC-60,1,1
60.1,601,F6.0704,NACE-60.1,ISIC-601,1,1
60.10,6010,F6.0705,NACE-60.10,ISIC-6010,1,1
60.2,602,F6.0706,NACE-60.2,ISIC-602,1,1
60.20,6020,F6.0707,NACE-60.20,ISIC-6020,1,1
61,61,F6.0708,NACE-61,ISIC-61,1,1
61.1,611,F6.0709,NACE-61.1,ISIC-611,1,1
61.10,6110,F6.0710,NACE-61.10,ISIC-6110,1,1
61.2,612,F6.0711,NACE-61.2,ISIC-612,1,1
61.20,6120,F6.0712,NACE-61.20,ISIC-6120,1,1
61.3,613,F6.0713,NACE-61.3,ISIC-613,1,1
61.30,6130,F6.0714,NACE-61.30,ISIC-6130,1,1
61.9,619,F6.0715,NACE-61.9,ISIC-619,1,1
61.90,6190,F6.0716,NACE-61.90,ISIC-6190,1,1
62,62,F6.0717,NACE-62,ISIC-62,1,1
62.0,620,F6.0718,NACE-62.0,ISIC-620,1,1
62.01,6201,F6.0719,NACE-62.01,ISIC-6201,1,1
62.02,6202,F6.0720,NACE-62.02,ISIC-6202,1,1
62.03,6202,F6.0721,NACE-62.03,ISIC-6202,1,1
62.09,6209,F6.0722,NACE-62.09,ISIC-6209,1,1
63,63,F6.0723,NACE-63,ISIC-63,1,1
63.1,631,F6.0724,NACE-63.1,ISIC-631,1,1
63.11,6311,F6.0725,NACE-63.11,ISIC-6311,1,1
63.12,6312,F6.0726,NACE-63.12,ISIC-6312,1,1
63.9,639,F6.0727,NACE-63.9,ISIC-639,1,1
63.91,6391,F6.0728,NACE-63.91,ISIC-6391,1,1
63.99,6399,F6.0729,NACE-63.99,ISIC-6399,1,1
K,K,F6.0730,NACE-K,ISIC-K,1,1
64,64,F6.0731,NACE-64,ISIC-64,1,1
64.1,641,F6.0732,NACE-64.1,ISIC-641,1,1
64.11,6411,F6.0733,NACE-64.11,ISIC-6411,1,1
64.19,6419,F6.0734,NACE-64.19,ISIC-6419,1,1
64.2,642,F6.0735,NACE-64.2,ISIC-642,1,1
64.20,6420,F6.0736,NACE-64.20,ISIC-6420,1,1
64.3,643,F6.0737,NACE-64.3,ISIC-643,1,1
64.30,6430,F6.0738,NACE-64.30,ISIC-6430,1,1
64.9,649,F6.0739,NACE-64.9,ISIC-649,1,1
64.91,6491,F6.0740,NACE-64.91,ISIC-6491,1,1
64.92,6492,F6.0741,NACE-64.92,ISIC-6492,1,1
64.99,6499,F6.0742,NACE-64.99,ISIC-6499,1,1
65,65,F6.0743,NACE-65,ISIC-65,1,1
65.1,651,F6.0744,NACE-65.1,ISIC-651,1,1
65.11,6511,F6.0745,NACE-65.11,ISIC-6511,1,1
65.12,6512,F6.0746,NACE-65.12,ISIC-6512,1,1
65.2,652,F6.0747,NACE-65.2,ISIC-652,1,1
65.20,6520,F6.0748,NACE-65.20,ISIC-6520,1,1
65.3,653,F6.0749,NACE-65.3,ISIC-653,1,1
65.30,6530,F6.0750,NACE-65.30,ISIC-6530,1,1
66,66,F6.0751,NACE-66,ISIC-66,1,1
66.1,661,F6.0752,NACE-66.1,ISIC-661,1,1
66.11,6611,F6.0753,NACE-66.11,ISIC-6611,1,1
66.12,6612,F6.0754,NACE-66.12,ISIC-6612,1,1
66.19,6619,F6.0755,NACE-66.19,ISIC-6619,1,1
66.2,662,F6.0756,NACE-66.2,ISIC-662,1,1
66.21,6621,F6.0757,NACE-66.21,ISIC-6621,1,1
66.22,6622,F6.0758,NACE-66.22,ISIC-6622,1,1
66.29,6629,F6.0759,NACE-66.29,ISIC-6629,1,1
66.3,663,F6.0760,NACE-66.3,ISIC-663,1,1
66.30,6630,F6.0761,NACE-66.30,ISIC-6630,1,1
L,L,F6.0762,NACE-L,ISIC-L,1,1
68,68,F6.0763,NACE-68,ISIC-68,1,1
68.1,681,F6.0764,NACE-68.1,ISIC-681,1,1
68.10,6810,F6.0765,NACE-68.10,ISIC-6810,1,1
68.2,681,F6.0766,NACE-68.2,ISIC-681,1,1
68.20,6810,F6.0767,NACE-68.20,ISIC-6810,1,1
68.3,682,F6.0768,NACE-68.3,ISIC-682,1,1
68.31,6820,F6.0769,NACE-68.31,ISIC-6820,1,1
68.32,6820,F6.0770,NACE-68.32,ISIC-6820,1,1
M,M,F6.0771,NACE-M,ISIC-M,1,1
69,69,F6.0772,NACE-69,ISIC-69,1,1
69.1,691,F6.0773,NACE-69.1,ISIC-691,1,1
69.10,6910,F6.0774,NACE-69.10,ISIC-6910,1,1
69.2,692,F6.0775,NACE-69.2,ISIC-692,1,1
69.20,6920,F6.0776,NACE-69.20,ISIC-6920,1,1
70,70,F6.0777,NACE-70,ISIC-70,1,1
70.1,701,F6.0778,NACE-70.1,ISIC-701,1,1
70.10,7010,F6.0779,NACE-70.10,ISIC-7010,1,1
70.2,702,F6.0780,NACE-70.2,ISIC-702,1,1
70.21,7020,F6.0781,NACE-70.21,ISIC-7020,1,1
70.22,7020,F6.0782,NACE-70.22,ISIC-7020,1,1
71,71,F6.0783,NACE-71,ISIC-71,1,1
71.1,711,F6.0784,NACE-71.1,ISIC-711,1,1
71.11,7110,F6.0785,NACE-71.11,ISIC-7110,1,1
71.12,7110,F6.0786,NACE-71.12,ISIC-7110,1,1
71.2,712,F6.0787,NACE-71.2,ISIC-712,1,1
71.20,7120,F6.0788,NACE-71.20,ISIC-7120,1,1
72,72,F6.0789,NACE-72,ISIC-72,1,1
72.1,721,F6.0790,NACE-72.1,ISIC-721,1,1
72.11,7210,F6.0791,NACE-72.11,ISIC-7210,1,1
72.19,7210,F6.0792,NACE-72.19,ISIC-7210,1,1
72.2,722,F6.0793,NACE-72.2,ISIC-722,1,1
72.20,7220,F6.0794,NACE-72.20,ISIC-7220,1,1
73,73,F6.0795,NACE-73,ISIC-73,1,1
73.1,731,F6.0796,NACE-73.1,ISIC-731,1,1
73.11,7310,F6.0797,NACE-73.11,ISIC-7310,1,1
73.12,7310,F6.0798,NACE-73.12,ISIC-7310,1,1
73.2,732,F6.0799,NACE-73.2,ISIC-732,1,1
73.20,7320,F6.0800,NACE-73.20,ISIC-7320,1,1
74,74,F6.0801,NACE-74,ISIC-74,1,1
74.1,741,F6.0802,NACE-74.1,ISIC-741,1,1
74.10,7410,F6.0803,NACE-74.10,ISIC-7410,1,1
74.2,742,F6.0804,NACE-74.2,ISIC-742,1,1
74.20,7420,F6.0805,NACE-74.20,ISIC-7420,1,1
74.3,749,F6.0806,NACE-74.3,ISIC-749,1,1
74.30,7490,F6.0807,NACE-74.30,ISIC-7490,1,1
74.9,749,F6.0808,NACE-74.9,ISIC-749,1,1
74.90,7490,F6.0809,NACE-74.90,ISIC-7490,1,1
75,75,F6.0810,NACE-75,ISIC-75,1,1
75.0,750,F6.0811,NACE-75.0,ISIC-750,1,1
75.00,7500,F6.0812,NACE-75.00,ISIC-7500,1,1
N,N,F6.0813,NACE-N,ISIC-N,1,1
77,77,F6.0814,NACE-77,ISIC-77,1,1
77.1,771,F6.0815,NACE-77.1,ISIC-771,1,1
77.11,7710,F6.0816,NACE-77.11,ISIC-7710,1,1
77.12,7710,F6.0817,NACE-77.12,ISIC-7710,1,1
77.2,772,F6.0818,NACE-77.2,ISIC-772,1,1
77.21,7721,F6.0819,NACE-77.21,ISIC-7721,1,1
77.22,7722,F6.0820,NACE-77.22,ISIC-7722,1,1
77.29,7729,F6.0821,NACE-77.29,ISIC-7729,1,1
77.3,773,F6.0822,NACE-77.3,ISIC-773,1,1
77.31,7730,F6.0823,NACE-77.31,ISIC-7730,1,1
77.32,7730,F6.0824,NACE-77.32,ISIC-7730,1,1
77.33,7730,F6.0825,NACE-77.33,ISIC-7730,1,1
77.34,7730,F6.0826,NACE-77.34,ISIC-7730,1,1
77.35,7730,F6.0827,NACE-77.35,ISIC-7730,1,1
77.39,7730,F6.0828,NACE-77.39,ISIC-7730,1,1
77.4,774,F6.0829,NACE-77.4,ISIC-774,1,1
77.40,7740,F6.0830,NACE-77.40,ISIC-7740,1,1
78,78,F6.0831,NACE-78,ISIC-78,1,1
78.1,781,F6.0832,NACE-78.1,ISIC-781,1,1
78.10,7810,F6.0833,NACE-78.10,ISIC-7810,1,1
78.2,782,F6.0834,NACE-78.2,ISIC-782,1,1
78.20,7820,F6.0835,NACE-78.20,ISIC-7820,1,1
78.3,783,F6.0836,NACE-78.3,ISIC-783,1,1
78.30,7830,F6.0837,NACE-78.30,ISIC-7830,1,1
79,79,F6.0838,NACE-79,ISIC-79,1,1
79.1,791,F6.0839,NACE-79.1,ISIC-791,1,1
79.11,7911,F6.0840,NACE-79.11,ISIC-7911,1,1
79.12,7912,F6.0841,NACE-79.12,ISIC-7912,1,1
79.9,799,F6.0842,NACE-79.9,ISIC-799,1,1
79.90,7990,F6.0843,NACE-79.90,ISIC-7990,1,1
80,80,F6.0844,NACE-80,ISIC-80,1,1
80.1,801,F6.0845,NACE-80.1,ISIC-801,1,1
80.10,8010,F6.0846,NACE-80.10,ISIC-8010,1,1
80.2,802,F6.0847,NACE-80.2,ISIC-802,1,1
80.20,8020,F6.0848,NACE-80.20,ISIC-8020,1,1
80.3,803,F6.0849,NACE-80.3,ISIC-803,1,1
80.30,8030,F6.0850,NACE-80.30,ISIC-8030,1,1
81,81,F6.0851,NACE-81,ISIC-81,1,1
81.1,811,F6.0852,NACE-81.1,ISIC-811,1,1
81.10,8110,F6.0853,NACE-81.10,ISIC-8110,1,1
81.2,812,F6.0854,NACE-81.2,ISIC-812,1,1
81.21,8121,F6.0855,NACE-81.21,ISIC-8121,1,1
81.22,8129,F6.0856,NACE-81.22,ISIC-8129,1,1
81.29,8129,F6.0857,NACE-81.29,ISIC-8129,1,1
81.3,813,F6.0858,NACE-81.3,ISIC-813,1,1
81.30,8130,F6.0859,NACE-81.30,ISIC-8130,1,1
82,82,F6.0860,NACE-82,ISIC-82,1,1
82.1,821,F6.0861,NACE-82.1,ISIC-821,1,1
82.11,8211,F6.0862,NACE-82.11,ISIC-8211,1,1
82.19,8219,F6.0863,NACE-82.19,ISIC-8219,1,1
82.2,822,F6.0864,NACE-82.2,ISIC-822,1,1
82.20,8220,F6.0865,NACE-82.20,ISIC-8220,1,1
82.3,823,F6.0866,NACE-82.3,ISIC-823,1,1
82.30,8230,F6.0867,NACE-82.30,ISIC-8230,1,1
82.9,829,F6.0868,NACE-82.9,ISIC-829,1,1
82.91,8291,F6.0869,NACE-82.91,ISIC-8291,1,1
82.92,8292,F6.0870,NACE-82.92,ISIC-8292,1,1
82.99,8299,F6.0871,NACE-82.99,ISIC-8299,1,1
O,O,F6.0872,NACE-O,ISIC-O,1,1
84,84,F6.0873,NACE-84,ISIC-84,1,1
84.1,841,F6.0874,NACE-84.1,ISIC-841,1,1
84.11,8411,F6.0875,NACE-84.11,ISIC-8411,1,1
84.12,8412,F6.0876,NACE-84.12,ISIC-8412,1,1
84.13,8413,F6.0877,NACE-84.13,ISIC-8413,1,1
84.2,842,F6.0878,NACE-84.2,ISIC-842,1,1
84.21,8421,F6.0879,NACE-84.21,ISIC-8421,1,1
